OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
104,10/13/1962 0:00:00,Navajo Reservoir,9109090,35618,6050,36.806420000000003,-107.609369999999998
105,10/14/1962 0:00:00,Navajo Reservoir,9109090,35618,6050,36.806420000000003,-107.609369999999998
106,10/15/1962 0:00:00,Navajo Reservoir,9109090,35618,6050,36.806420000000003,-107.609369999999998
107,10/16/1962 0:00:00,Navajo Reservoir,9109090,35618,6050,36.806420000000003,-107.609369999999998
108,10/17/1962 0:00:00,Navajo Reservoir,9109090,35618,6050,36.806420000000003,-107.609369999999998
109,10/18/1962 0:00:00,Navajo Reservoir,9109090,36052,6050,36.806420000000003,-107.609369999999998
110,10/19/1962 0:00:00,Navajo Reservoir,9109090,38658,6050,36.806420000000003,-107.609369999999998
111,10/20/1962 0:00:00,Navajo Reservoir,9109090,41985,6050,36.806420000000003,-107.609369999999998
112,10/21/1962 0:00:00,Navajo Reservoir,9109090,44013,6050,36.806420000000003,-107.609369999999998
113,10/22/1962 0:00:00,Navajo Reservoir,9109090,46039,6050,36.806420000000003,-107.609369999999998
114,10/23/1962 0:00:00,Navajo Reservoir,9109090,48065,6050,36.806420000000003,-107.609369999999998
115,10/24/1962 0:00:00,Navajo Reservoir,9109090,48788,6050,36.806420000000003,-107.609369999999998
116,10/25/1962 0:00:00,Navajo Reservoir,9109090,49512,6050,36.806420000000003,-107.609369999999998
117,10/26/1962 0:00:00,Navajo Reservoir,9109090,50236,6050,36.806420000000003,-107.609369999999998
118,10/27/1962 0:00:00,Navajo Reservoir,9109090,50959,6050,36.806420000000003,-107.609369999999998
119,10/28/1962 0:00:00,Navajo Reservoir,9109090,51105,6050,36.806420000000003,-107.609369999999998
120,10/29/1962 0:00:00,Navajo Reservoir,9109090,51393,6050,36.806420000000003,-107.609369999999998
121,10/30/1962 0:00:00,Navajo Reservoir,9109090,51683,6050,36.806420000000003,-107.609369999999998
122,10/31/1962 0:00:00,Navajo Reservoir,9109090,52568,6050,36.806420000000003,-107.609369999999998
123,11/1/1962 0:00:00,Navajo Reservoir,9109090,53097,6050,36.806420000000003,-107.609369999999998
124,11/2/1962 0:00:00,Navajo Reservoir,9109090,53451,6050,36.806420000000003,-107.609369999999998
125,11/3/1962 0:00:00,Navajo Reservoir,9109090,53805,6050,36.806420000000003,-107.609369999999998
126,11/4/1962 0:00:00,Navajo Reservoir,9109090,53981,6050,36.806420000000003,-107.609369999999998
127,11/5/1962 0:00:00,Navajo Reservoir,9109090,54335,6050,36.806420000000003,-107.609369999999998
128,11/6/1962 0:00:00,Navajo Reservoir,9109090,54689,6050,36.806420000000003,-107.609369999999998
