first_name,last_name,y_coord,x_coord,det_mfg,det_model,mic_type,refl_type,mic_ht,mic_ht_units,call_id_1,call_id_2,site_id,det_id,night,anpa,cora,coto,epfu,euma,eupe,idph,labl,labo,laci,lano,lase,laxa,myau,myca,myci,myev,mygr,myle,mylu,myse,myso,myth,myve,myvo,myyu,nyfe,nyhu,nyma,pahe,pesu,tabr,epfulano,eumaeupe,eumaidph,eupeidph,eupenyma,lablpahe,labonyhu,labopesu,lacitabr,lanotabr,myarmyev,mycamyvo,mycamyyu,myevmyth,mylumyvo,nyfetabr,reye,my40,q10k,q15k,q25k,q40k,q50k
Todd,Stewart,35.579445,-99.85761,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Stream,2019-05-27 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,0,,,0,1,
Todd,Stewart,35.579445,-99.85761,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Stream,2019-05-28 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,0,0,,,1,1,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-21 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,1,,,0,1,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-22 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,0,,,1,1,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-23 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,0,0,,,1,0,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-24 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,0,0,,,0,1,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-25 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,0,0,,,0,0,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-26 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,0,,,1,0,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-27 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,0,,,0,0,
Todd,Stewart,35.63128,-99.886734,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,4.57,meters,Sonobat 4,Personal Experience,Cibola National Forest,6342_Unit61,2019-05-28 00:00:00,0,,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,,0,,,0,,0,0,,,0,0,,0,,,,,,0,,,0,,,,,,,,1,0,,,1,0,
