STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,HY-InUse,HY-OffFr,HY-ToUse,HY-InPow,HY-OfPow,HY-ToPow,HY-InFac,HY-OfFac,HY-ToFac
35,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080202,Mcelmo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1408,14080202,Mcelmo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080203,Montezuma,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1408,14080203,Montezuma,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1408,14080204,Chinle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080204,Chinle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1408,14080204,Chinle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1408,14080205,Lower San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1408,14080205,Lower San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010001,Lower Colorado-Marble Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010002,Grand Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010003,Kanab,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1501,15010003,Kanab,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010004,Havasu Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010005,Lake Mead,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010005,Lake Mead,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010006,Grand Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010006,Grand Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010007,Hualapai Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1501,15010008,Upper Virgin,1985,20.99,0.00,20.99,2.28,0.00,2.28,4.00,0.00,4.00
04,1501,15010009,Fort Pearce Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1501,15010009,Fort Pearce Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010010,Lower Virgin,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010010,Lower Virgin,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1501,15010010,Lower Virgin,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010011,White,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010012,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010013,Meadow Valley Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1501,15010013,Meadow Valley Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1501,15010014,Detrital Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1501,15010015,Las Vegas Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020001,Little Colorado Headwaters,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1502,15020001,Little Colorado Headwaters,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020002,Upper Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1502,15020002,Upper Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020003,Carrizo Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1502,15020003,Carrizo Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020004,Zuni,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1502,15020004,Zuni,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020005,Silver,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020006,Upper Puerco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1502,15020006,Upper Puerco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020007,Lower Puerco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020008,Middle Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020009,Leroux Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020010,Chevelon Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020011,Cottonwood Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020012,Corn-Oraibi,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020013,Polacca Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020014,Jadito Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020015,Canyon Diablo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020016,Lower Little Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020017,Dinnebito Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1502,15020018,Moenkopi Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030101,Havasu-Mohave Lake,1985,23843.67,0.00,23843.67,5697.00,0.00,5697.00,3.00,0.00,3.00
06,1503,15030101,Havasu-Mohave Lake,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1503,15030101,Havasu-Mohave Lake,1985,9264.73,0.00,9264.73,4308.66,0.00,4308.66,1.00,0.00,1.00
06,1503,15030102,Piute Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
32,1503,15030102,Piute Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030103,Sacramento Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030104,Imperial Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06,1503,15030104,Imperial Reservoir,1985,14594.16,0.00,14594.16,872.43,0.00,872.43,1.00,0.00,1.00
04,1503,15030105,Bouse Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030106,Tyson Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030107,Lower Colorado,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06,1503,15030107,Lower Colorado,1985,7.53,0.00,7.53,221.82,0.00,221.82,1.00,0.00,1.00
04,1503,15030108,Yuma Desert,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030201,Big Sandy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030202,Burro,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030203,Santa Maria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1503,15030204,Bill Williams,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1504,15040001,Upper Gila,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040002,Upper Gila-Mangas,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1504,15040002,Upper Gila-Mangas,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040003,Animas Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1504,15040003,Animas Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040004,San Francisco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1504,15040004,San Francisco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040005,Upper Gila-San Carlos Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040006,San Simon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1504,15040006,San Simon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1504,15040007,San Carlos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050100,Middle Gila,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050201,Willcox Playa,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050202,Upper San Pedro,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050203,Lower San Pedro,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050301,Upper Santa Cruz,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050302,Rillito,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050303,Lower Santa Cruz,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050304,Brawley Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050305,Aguirre Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1505,15050306,Santa Rosa Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060101,Black,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060102,White,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060103,Upper Salt,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060104,Carrizo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060105,Tonto,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060106,Lower Salt,1985,789.18,0.00,789.18,542.97,0.00,542.97,--,0.00,--
04,1506,15060201,Big Chino-Williamson Valley,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060202,Upper Verde,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1506,15060203,Lower Verde,1985,70.40,0.00,70.40,40.86,0.00,40.86,--,0.00,--
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070102,Agua Fria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070103,Hassayampa,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070104,Centennial Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070201,Lower Gila,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070202,Tenmile Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1507,15070203,San Cristobal Wash,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
