STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,PT-WGWFr,PT-WGWSa,PT-WGWTo,PT-WSWFr,PT-WSWSa,PT-WSWTo,PT-WFrTo,PT-WSaTo,PT-WTotl,PT-CUsFr,PT-CUsSa,PT-CUTot,PT-Power,PT-RecWW,PT-Facil,,,,
49,1406,14060004,Strawberry,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1406,14060005,Lower Green-Desolation Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1406,14060006,Willow,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1406,14060007,Price,1985,0.00,0.00,0.00,1.40,0.00,1.40,1.40,0.00,1.40,1.00,0.00,1.00,488.83,0.00,--,,,,
49,1406,14060008,Lower Green,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1406,14060009,San Rafael,1985,0.00,0.00,0.00,20.38,0.00,20.38,20.38,0.00,20.38,20.38,0.00,20.38,13211.90,0.00,--,,,,
49,1407,14070001,Upper Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1407,14070002,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1407,14070003,Fremont,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1407,14070004,Dirty Devil,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1407,14070005,Escalante,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
04,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,23.24,0.00,23.24,23.24,0.00,23.24,23.24,0.00,23.24,7233.14,0.00,--,,,,
49,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
04,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
49,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
08,1408,14080101,Upper San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
35,1408,14080101,Upper San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
08,1408,14080102,Piedra,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
35,1408,14080103,Blanco Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
35,1408,14080104,Animas,1985,0.00,0.00,0.00,2.53,0.00,2.53,2.53,0.00,2.53,0.02,0.00,0.02,16.22,0.00,0.00,,,,
08,1408,14080104,Animas,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
35,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,51.12,0.00,51.12,51.12,0.00,51.12,36.30,0.00,36.30,22565.85,0.00,--,,,,
04,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
08,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
04,1408,14080106,Chaco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,
