STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
35,1408,14080106,Chaco,1985,0.00,131.82,131.82,105.54,0.00,39.53,0.00,0.00,39.53,0.00,--
04,1408,14080106,Chaco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1408,14080107,Mancos,1985,0.20,79.49,79.69,25.14,5.43,0.72,0.00,13.39,14.11,0.00,--
35,1408,14080107,Mancos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1408,14080201,Lower San Juan-Four Corners,1985,0.00,2.65,2.65,2.03,0.41,0.09,0.00,0.77,0.86,0.00,--
04,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
35,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
08,1408,14080202,Mcelmo,1985,0.43,173.23,173.65,54.11,13.06,1.57,0.00,29.19,30.76,0.00,--
49,1408,14080202,Mcelmo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1408,14080203,Montezuma,1985,0.00,3.37,3.37,2.57,0.52,0.16,0.00,1.40,1.56,0.00,--
08,1408,14080203,Montezuma,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1408,14080204,Chinle,1985,0.00,4.00,4.00,3.00,1.00,0.00,0.00,1.60,1.60,0.00,--
35,1408,14080204,Chinle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1408,14080204,Chinle,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1408,14080205,Lower San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1408,14080205,Lower San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
04,1501,15010001,Lower Colorado-Marble Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,--
