Date,Station Name,Station Id,Reservoir Storage Volume (dam^3) Start of Day Values,Elevation (ft),Latitude,Longitude
1983-08-24,Meeks Cabin Reservoir,09218400,29034,8673,41.02583,-110.58067
1983-08-25,Meeks Cabin Reservoir,09218400,28751,8673,41.02583,-110.58067
1983-08-26,Meeks Cabin Reservoir,09218400,28475,8673,41.02583,-110.58067
1983-08-27,Meeks Cabin Reservoir,09218400,28025,8673,41.02583,-110.58067
1983-08-28,Meeks Cabin Reservoir,09218400,27573,8673,41.02583,-110.58067
1983-08-29,Meeks Cabin Reservoir,09218400,27132,8673,41.02583,-110.58067
1983-08-30,Meeks Cabin Reservoir,09218400,26688,8673,41.02583,-110.58067
1983-08-31,Meeks Cabin Reservoir,09218400,26254,8673,41.02583,-110.58067
1983-09-01,Meeks Cabin Reservoir,09218400,25817,8673,41.02583,-110.58067
1983-09-02,Meeks Cabin Reservoir,09218400,25391,8673,41.02583,-110.58067
1983-09-03,Meeks Cabin Reservoir,09218400,24963,8673,41.02583,-110.58067
1983-09-04,Meeks Cabin Reservoir,09218400,24722,8673,41.02583,-110.58067
1983-09-05,Meeks Cabin Reservoir,09218400,24482,8673,41.02583,-110.58067
1983-09-06,Meeks Cabin Reservoir,09218400,24243,8673,41.02583,-110.58067
1983-09-07,Meeks Cabin Reservoir,09218400,24006,8673,41.02583,-110.58067
1983-09-08,Meeks Cabin Reservoir,09218400,23771,8673,41.02583,-110.58067
1983-09-09,Meeks Cabin Reservoir,09218400,23535,8673,41.02583,-110.58067
1983-09-10,Meeks Cabin Reservoir,09218400,23107,8673,41.02583,-110.58067
1983-09-11,Meeks Cabin Reservoir,09218400,22684,8673,41.02583,-110.58067
1983-09-12,Meeks Cabin Reservoir,09218400,22264,8673,41.02583,-110.58067
1983-09-13,Meeks Cabin Reservoir,09218400,21851,8673,41.02583,-110.58067
1983-09-14,Meeks Cabin Reservoir,09218400,21443,8673,41.02583,-110.58067
1983-09-15,Meeks Cabin Reservoir,09218400,21223,8673,41.02583,-110.58067
1983-09-16,Meeks Cabin Reservoir,09218400,21399,8673,41.02583,-110.58067
1983-09-17,Meeks Cabin Reservoir,09218400,21619,8673,41.02583,-110.58067
1983-09-18,Meeks Cabin Reservoir,09218400,21977,8673,41.02583,-110.58067
1983-09-19,Meeks Cabin Reservoir,09218400,22089,8673,41.02583,-110.58067
1983-09-20,Meeks Cabin Reservoir,09218400,22202,8673,41.02583,-110.58067
1983-09-21,Meeks Cabin Reservoir,09218400,22292,8673,41.02583,-110.58067
1983-09-22,Meeks Cabin Reservoir,09218400,22415,8673,41.02583,-110.58067
1983-09-23,Meeks Cabin Reservoir,09218400,22532,8673,41.02583,-110.58067
1983-09-24,Meeks Cabin Reservoir,09218400,22655,8673,41.02583,-110.58067
1983-09-25,Meeks Cabin Reservoir,09218400,22784,8673,41.02583,-110.58067
1983-09-26,Meeks Cabin Reservoir,09218400,22908,8673,41.02583,-110.58067
1983-09-27,Meeks Cabin Reservoir,09218400,23038,8673,41.02583,-110.58067
1983-09-28,Meeks Cabin Reservoir,09218400,23162,8673,41.02583,-110.58067
1983-09-29,Meeks Cabin Reservoir,09218400,23349,8673,41.02583,-110.58067
1983-09-30,Meeks Cabin Reservoir,09218400,23419,8673,41.02583,-110.58067
1983-10-01,Meeks Cabin Reservoir,09218400,23488,8673,41.02583,-110.58067
1983-10-02,Meeks Cabin Reservoir,09218400,23724,8673,41.02583,-110.58067
1983-10-03,Meeks Cabin Reservoir,09218400,24006,8673,41.02583,-110.58067
1983-10-04,Meeks Cabin Reservoir,09218400,24243,8673,41.02583,-110.58067
1983-10-05,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
1983-10-06,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
1983-10-07,Meeks Cabin Reservoir,09218400,24770,8673,41.02583,-110.58067
1983-10-08,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
1983-10-09,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
1983-10-10,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
1983-10-11,Meeks Cabin Reservoir,09218400,,8673,41.02583,-110.58067
